question,option_a,option_b,option_c,option_d,correct_answer,explanation
A number when divided by 5 gives remainder 3. What is the number?,8,13,18,23,B,5k+3 → 13
Which is smallest prime factor of 91?,7,13,91,1,A,91=7×13
Find sum of first 10 natural numbers,45,50,55,60,C,n(n+1)/2
Find product of first 5 natural numbers,60,100,120,240,C,1×2×3×4×5
Which is divisible by 11?,121,133,143,155,A,11×11
A number divisible by both 3 and 4,6,8,9,12,D,"LCM 3,4=12"
Find greatest 3-digit number,997,998,999,1000,C,Largest 3-digit
Which is a twin prime?,11 & 13,15 & 17,17 & 21,19 & 23,A,Difference of 2
Sum of digits of 472,11,12,13,14,C,4+7+2=13 correction → Option C
Number of zeroes in 1000,1,2,3,4,A,1000 has 3 zeroes
