question,option_a,option_b,option_c,option_d,correct_answer,explanation
Simplify 6 + 18 ÷ 3,8,10,12,14,A,BODMAS → 18÷3=6 → 6+6
Simplify (5+3)²,16,64,32,25,B,8² = 64
Simplify 24 ÷ 6 × 2,2,4,6,8,A,Left to right → 4×2
Simplify 7 + 3 × 4,19,28,40,21,A,Multiply first → 7+12
Simplify 100 − 20² ÷ 10,60,80,40,20,C,20²=400 → 400÷10=40 → 100−40
Simplify 15 ÷ (3×5),1,3,5,15,A,15/15=1
Simplify (18 ÷ 3)²,6,12,36,9,A,6² = 36
Simplify 8 + 16 ÷ 4 × 2,16,24,32,40,A,16÷4=4×2=8 → 8+8
Simplify 50 − 5³,75,−75,25,−25,C,5³=125 → 50−125
Simplify 2³ + 3²,13,17,11,19,B,8+9=17 correction → Option B
