question,option_a,option_b,option_c,option_d,correct_answer,explanation
How many even numbers between 1 and 20?,9,10,11,12,B,Even numbers from 2 to 20 → 10
Which of the following is odd?,246,108,319,400,C,319 is odd
What is the smallest composite number?,1,2,3,4,B,4 = 2×2
How many factors does 9 have?,2,3,4,5,B,"Factors: 1,3,9"
Which is a multiple of 12?,36,38,40,42,A,12×3 = 36
What is the LCM of 2 and 3?,5,6,8,12,B,Smallest common multiple is 6
What is the HCF of 12 and 18?,3,6,9,12,B,Common factors max = 6
Which number has exactly two factors?,4,6,9,11,D,Prime numbers have two factors
Find the predecessor of 1000,999,998,1001,1002,A,One less than 1000
Which is divisible by 3?,124,256,381,407,C,Sum of digits = 12
