question,option_a,option_b,option_c,option_d,correct_answer,explanation
"Two bells 15s, 20s → together?",60,30,75,45,A,LCM=60
"Numbers divisible by 18,24 → LCM?",72,144,216,120,A,LCM=72? correction → Option B=72
"HCF of 120,180",30,60,40,20,B,60 divides both? correction → Option B=60
"LCM of 14,16",112,224,64,128,A,LCM=112? correction → Option A=112
"Two numbers 54,90 → LCM?",270,180,120,360,A,LCM=270? 54×90/18=270 → B=270
"Three numbers 6,8,12 → HCF?",2,4,6,8,A,HCF=2? correction → Option A=2
"LCM of 5,6,8",40,120,30,24,B,LCM=120
"HCF of 36,60,84",6,12,18,24,A,HCF=6
"LCM of 9,12,15",180,120,360,240,A,LCM=180
Two numbers 16 and 20 → HCF?,2,4,8,16,B,4 divides both
