question,option_a,option_b,option_c,option_d,correct_answer,explanation
"Two bells 6s, 8s → together?",24,48,12,36,A,LCM=24
"Numbers divisible by 12,15 → LCM?",60,45,50,30,A,LCM=60
"HCF of 96,144",24,48,32,16,A,24 divides both
"LCM of 21,28",84,98,56,63,A,LCM=84
"Two numbers 54,90 → HCF?",18,12,9,6,A,18 divides both
"Three numbers 8,12,20 → LCM?",60,40,30,80,A,LCM=60
"HCF of 120,150",15,30,20,10,A,15 divides both
"LCM of 7,8,9",504,252,336,288,A,LCM=504? correction → Option A=504
"HCF of 84,126,210",14,21,28,42,B,21 divides all
"LCM of 5,10,20",20,40,30,50,A,LCM=20
