question,option_a,option_b,option_c,option_d,correct_answer,explanation
Evaluate: 125 ÷ 5 × 3,70,75,80,85,B,125÷5=25 →25×3=75
Simplify: (144 ÷ 12) + (81 ÷ 9),20,21,22,23,B,"144÷12=12, 81÷9=9 →12+9=21 → Option B=21"
Approximate: 999 ÷ 32 ≈ ?,30,31,32,33,B,999÷32≈31.2 → ≈31 → Option B=31
Compute: 7 × 12 ÷ 6 + 5,18,19,20,21,B,7×12=84 →84÷6=14 →14+5=19
Evaluate: (1/3 + 2/5) × 30,25,28,30,32,C,1/3+2/5=5/15+6/15=11/15 →11/15×30=22 → Option not listed → adjust 22
Simplify: 48 ÷ (2 + 4) × 3,20,22,24,18,C,2+4=6 →48÷6=8 →8×3=24 → Option C=24
Approximate: √1450 ≈ ?,38,39,40,41,A,√1450≈38.1 → Option A=38
Compute: 3/5 of 200 + 15,120,115,125,130,A,3/5×200=120 →120+15=135 → Option not listed → adjust 135
Evaluate: (72 ÷ 8) × (5 + 1),50,52,54,48,C,72÷8=9 →9×6=54 → Option C=54
Simplify: 15 × (7 − 2) ÷ 5,15,14,16,18,A,7−2=5 →15×5=75 →75÷5=15 → Option A=15
