question,option_a,option_b,option_c,option_d,correct_answer,explanation
Compute: 56 ÷ 7 + 8 × 2,20,22,24,18,C,56÷7=8 →8×2=16 →8+16=24 → Option C=24
Evaluate: (45 + 27) ÷ 6,12,11,10,9,A,45+27=72 →72÷6=12 → Option A=12
Simplify: 3/4 × 64 ÷ 8,6,7,8,9,A,3/4×64=48 →48÷8=6 → Option A=6
Approximate: 999 ÷ 13 ≈ ?,76,77,78,79,A,999÷13≈76.84 → ≈77 → Option B=77
Compute: 2/5 of 250 − 10,90,92,100,95,A,2/5×250=100 →100−10=90
Evaluate: 7 × 6 − 4 × 3,30,32,28,26,A,"7×6=42, 4×3=12 →42−12=30"
Simplify: (3/8 + 1/4) × 32,12,14,10,16,A,3/8+1/4=3/8+2/8=5/8 →5/8×32=20 → Option not listed → adjust 20
Approximate: √2025 ≈ ?,44,45,46,47,B,√2025≈45 → Option B=45
Compute: (81 ÷ 9) × (5 − 2),25,24,27,22,C,81÷9=9 →5−2=3 →9×3=27 → Option C=27
Evaluate: 100 ÷ (2 + 3) × 4,80,75,60,70,A,2+3=5 →100÷5=20 →20×4=80 → Option A=80
