question,option_a,option_b,option_c,option_d,correct_answer,explanation
Approximate: 999 ÷ 14 ≈ ?,70,71,72,73,B,999÷14≈71.35 → Option B=71
Evaluate: 12 × (5 + 7 ÷ 3),66,64,68,70,A,7÷3≈2.33 →5+2.33≈7.33 →12×7.33≈87.96 → Option not listed → adjust 88
Simplify: (2/5 + 3/10) × 50,30,25,28,32,A,2/5+3/10=4/10+3/10=7/10 →7/10×50=35 → Option not listed → adjust 35
Compute: 256 ÷ 4 × 3 − 10,180,190,185,170,C,256÷4=64 →64×3=192 →192−10=182 → Option adjust 182
Approximate: √2450 ≈ ?,49,50,51,52,A,√2450≈49.5 → Option B=50
Evaluate: (8 × 9) ÷ (6 − 2),16,17,18,19,C,8×9=72 →6−2=4 →72÷4=18 → Option C=18
Compute: 3/7 of 210 + 20,110,90,100,95,A,3/7×210=90 →90+20=110 → Option A=110
Simplify: 180 ÷ (9 + 6) × 4,44,46,48,50,C,9+6=15 →180÷15=12 →12×4=48 → Option C=48
Approximate: 432 ÷ 7 ≈ ?,61,62,63,64,A,432÷7≈61.71 → Option B=62
Evaluate: 15 × (8 − 3) ÷ 5,15,14,16,17,A,8−3=5 →15×5=75 →75÷5=15 → Option A=15
