question,option_a,option_b,option_c,option_d,correct_answer,explanation
Evaluate: 48 ÷ 8 × 3,16,18,20,14,B,48÷8=6 → 6×3=18 → Option B=18
Simplify: 120 ÷ (5 + 7),12,10,15,8,A,5+7=12 → 120÷12=10
Compute: 81 ÷ 9 + 7,14,16,15,17,B,81÷9=9 → 9+7=16 → Option B=16
Evaluate: (15 + 25) ÷ 5,8,10,9,12,A,15+25=40 → 40÷5=8 → Option A=8
Simplify: 18 × 3 ÷ 6,8,9,10,11,A,18×3=54 → 54÷6=9
Compute: 50 − 36 ÷ 6,44,44,46,48,A,36÷6=6 → 50−6=44
Approximate: 67 × 3 ≈ ?,200,201,210,220,B,67≈67 → 67×3=201
Evaluate: 144 ÷ 12 + 8,18,20,16,22,B,144÷12=12 → 12+8=20
Simplify: 99 ÷ 11 × 5,45,40,50,55,A,99÷11=9 → 9×5=45
Approximate: 345 ÷ 12 ≈ ?,28,29,30,31,A,345÷12=28.75 → ≈29 → Option B=29
