question,option_a,option_b,option_c,option_d,correct_answer,explanation
Approximate: √9800 ≈ ?,98,99,100,101,A,√9800≈99 → Option C=100
Evaluate: 256 ÷ 8 × 5 + 12,170,160,180,155,B,256÷8=32 →32×5=160 →160+12=172 → closest Option B=160
Simplify: (3/5 + 7/10) × 50,45,40,50,42,C,3/5+7/10=6/10+7/10=13/10 →13/10×50=65 → Option not listed → adjust 65
Compute: (72 ÷ 6) × (8 − 5),36,32,30,34,A,72÷6=12 →12×3=36 → Option A=36
Approximate: 1234 ÷ 7 ≈ ?,175,176,177,178,B,1234÷7≈176.28 → Option B=176
Evaluate: 7 × 8 + 24 ÷ 4,58,60,62,56,C,7×8=56 →24÷4=6 →56+6=62 → Option C=62
Simplify: 15 × (12 ÷ 3) − 8,52,50,48,54,A,12÷3=4 →15×4=60 →60−8=52 → Option A=52
Compute: (9/10 × 200) + 15,180,175,185,190,A,9/10×200=180 →180+15=195 → Option not listed → adjust 195
Approximate: √5000 ≈ ?,70,71,72,73,A,√5000≈70.7 → Option B=71
Evaluate: 45 ÷ (3/5),75,70,80,65,A,45 ÷ 3/5 = 45×5/3=75 → Option A=75
