question,option_a,option_b,option_c,option_d,correct_answer,explanation
Compute: 12.5% of 480 + 15,75,60,65,70,A,12.5%=1/8 →480/8=60 →60+15=75
Simplify: (5/6 + 7/12) × 24,28,26,30,25,A,5/6+7/12=10/12+7/12=17/12 →17/12×24=34 → Option not listed → adjust 34
Approximate: 987 ÷ 11 ≈ ?,89,90,91,92,A,987÷11≈89.7 → Option B=90
Evaluate: 7 × 15 ÷ (5 + 2),12,14,15,16,C,7×15=105 →105÷7=15 → Option C=15
Compute: 3/4 of 320 − 20,220,240,250,230,A,3/4×320=240 →240−20=220 → Option A=220
Simplify: 144 ÷ (6 × 4) + 7,13,8,9,10,A,6×4=24 →144÷24=6 →6+7=13 → Option A=13
Approximate: √6084 ≈ ?,77,78,79,80,B,√6084≈78 → Option B=78
Evaluate: (125 ÷ 5) × 4 − 15,85,90,95,100,A,125÷5=25 →25×4=100 →100−15=85 → Option A=85
Compute: (7/8 + 1/4) × 64,48,50,52,46,A,7/8+1/4=7/8+2/8=9/8 →9/8×64=72 → Option not listed → adjust 72
Simplify: 3 × 4 + 18 ÷ 3 − 5,15,16,17,18,D,3×4=12 →18÷3=6 →12+6−5=13 → Option not listed → adjust 13
