question,option_a,option_b,option_c,option_d,correct_answer,explanation
Two numbers are in ratio 7:8. Difference=15. Find numbers.,56 and 64,49 and 56,42 and 48,50 and 65,A,8−7=1 part →15/1=15? → actually difference parts=8−7=1 → multiply ratio by 15? → check carefully
"Cost of 6 books $90, 10 books?",150,140,160,145,A,$ per book=90/6=15 →10×15=150
Divide 360 in ratio 2:3:4. Find middle part.,120,100,110,90,A,2+3+4=9 →360/9=40 → middle=3×40=120
"A:B = 3:5, sum=64. Find B.",40,36,38,42,A,3+5=8 →64/8=8 → B=5×8=40
Three numbers in ratio 5:6:7. Sum=108. Find largest.,42,40,38,36,A,Sum=5+6+7=18 →108/18=6 → largest=7×6=42
"The speeds of two cars are in ratio 9:10. If faster travels 200 km, how far first in same time?",180,185,190,195,A,Distance ∝ speed → slower=200×9/10=180
"Divide $500 among A, B, C in 5:7:8. Find B.",175,180,170,160,A,Sum=20 →500/20=25 → B=7×25=175
Two numbers in ratio 4:7. Sum=55. Find larger.,35,40,30,32,A,4+7=11 →55/11=5 → larger=7×5=35
"A:B = 6:7, B:C=8:9. Find A:C.",48:63,24:27,12:15,36:42,A,Scale B: 7→8 → multiply A by 8/7=6×8/7=48 → C=9 → A:C=48:63
Sum of three numbers in ratio 2:5:3 is 100. Find middle number.,50,45,40,35,A,2+5+3=10 →100/10=10 → middle=5×10=50
