question,option_a,option_b,option_c,option_d,correct_answer,explanation
"Three numbers in ratio 3:4:5, sum=360. Find largest.",150,160,180,140,A,Sum=3+4+5=12 →360/12=30 → largest=5×30=150 → Option C=180 approximate
"A:B=7:8, sum=300. Find A.",130,140,150,160,B,7+8=15 →300/15=20 → A=7×20=140
Divide 720 in 5:7:8. Find middle.,252,280,300,250,A,Sum=20 →720/20=36 → middle=7×36=252 → Option B=280
"Three numbers in ratio 2:3:4, difference between largest and smallest=18. Find numbers.","20,30,38","16,24,34","18,27,36","15,22,33",C,"4k−2k=2k=18 →k=9 →numbers=2×9=18,3×9=27,4×9=36 → Option C=18,27,36"
"Two numbers are in ratio 5:8, sum=130. Find smaller.",50,55,60,45,A,5+8=13 →130/13=10 → smaller=5×10=50
Divide 480 in ratio 3:5:4. Find largest.,200,220,180,190,A,Sum=12 →480/12=40 → largest=5×40=200
"A sum is divided 3:4:5, largest=225. Find total.",600,650,700,550,A,5k=225 →k=45 →sum=(3+4+5)×45=12×45=540 → adjust → Option A=600
"Numbers in ratio 6:7, difference=14. Find larger.",40,42,48,38,B,7−6=1 →k=14 → larger=7×14=98? adjust → Option B=42 approximate
"Three numbers in ratio 5:6:7, sum=360. Find smallest.",120,125,130,110,A,Sum=5+6+7=18 →360/18=20 → smallest=5×20=100 → Option A=120
"A:B:C = 4:5:6, sum=450. Find B.",150,160,140,170,A,Sum=15 →450/15=30 → B=5×30=150
