question,option_a,option_b,option_c,option_d,correct_answer,explanation
A trader buys a chair for ₹1200 and sells it for ₹1500. Profit %?,25%,20%,15%,30%,A,Profit=1500−1200=300 → % profit=300/1200×100=25%
An article costing ₹600 sold at 10% loss. SP?,540,550,560,530,A,SP=600×0.9=540
"A man bought a watch for ₹800, sold for ₹960. Profit %?",20%,25%,15%,18%,A,Profit=960−800=160 → % profit=160/800×100=20%
A shopkeeper sold an item at ₹675 after giving 10% discount on MP. CP ₹500. Gain %?,35%,25%,30%,28%,A,"SP=675, CP=500 → Profit=175 → % profit=175/500×100=35%"
"An article bought at ₹400, sold at 15% profit. SP?",460,450,470,465,A,SP=400×1.15=460
"A man sells article for ₹540, loses 10%. CP?",600,580,590,620,A,CP=540/(1−0.1)=600
A trader gains 20% by selling an article at ₹720. CP?,600,620,650,610,A,CP=720/1.2=600
"Cost of article ₹800, sold at 10% loss. SP?",720,730,750,710,A,SP=800×0.9=720
"A man sells two items: 1st 10% gain, 2nd 10% loss. Both CP=₹500. Net profit/loss?",0,5,10,15,A,"SP1=500×1.1=550, SP2=500×0.9=450 → Total SP=1000, CP=1000 → Net profit=0"
"An article costs ₹1200, sold at 20% gain, then 10% discount on MP. Net gain?",8%,10%,12%,15%,A,SP=1200×1.2=1440 → after 10% discount: 1440×0.9=1296 → Profit=96 → %≈8%
