question,option_a,option_b,option_c,option_d,correct_answer,explanation
"A:B efficiency = 2:3, total work 50 units. B does?",20,30,35,40,B,B=(3/5)×50=30
"Work shared in ratio 5:7, total pay ₹2400. Larger gets?",1000,1200,1400,1600,C,parts=12 → 200 → larger=7×200=1400
"A does twice work of B, total work 60. A did?",20,30,40,50,C,ratio=2:1 → A=(2/3)×60=40
"Efficiency ratio 4:6, total job 100 units. First worker?",40,50,60,70,A,first=(4/10)×100=40
"A:B = 3:7 work, B did 70 units. Total work?",90,100,120,140,B,B=7 parts=70 → 1 part=10 → total=100
"Wages shared 5:8, total ₹2600. Smaller?",1000,1200,1400,1600,A,parts=13 → 200 → smaller=5×200=1000 (option A) → correct A
Two machines in ratio 3:5 produce 160 items. Smaller machine?,48,60,64,72,B,smaller=(3/8)×160=60 → option B
"Work split 2:3:5, total=100. Middle worker?",20,30,40,50,B,middle=3/10×100=30
"A does 4x B, total work 100. B did?",10,20,25,30,A,ratio=4:1 → B=1/5×100=20 → option B
"Efficiency ratio 7:9, total work 320. Larger worker?",140,160,180,200,C,larger=(9/16)×320=180
