question,option_a,option_b,option_c,option_d,correct_answer,explanation
"Speeds in ratio 3:5, total distance 80 km. Faster covers?",30,40,50,60,C,faster=(5/8)×80=50
"Two cars cover same time, speed ratio 4:7. Distance ratio?",4:7,7:4,16:49,1:1,A,distance ∝ speed
"Distances ratio 5:9, same speed. Time ratio?",5:9,9:5,25:81,1:1,A,time ∝ distance
"Speed ratio 2:3, total time 10 hr. Faster time?",4,5,6,7,A,time inverse → faster=(2/5)×10=4
Two cyclists in ratio 7:11 cover 180 km. Slower covers?,70,80,90,100,A,slower=(7/18)×180=70 → option A
"Speed ratio 3:4, same distance. Time difference 2 hr. Slower time?",6,8,10,12,B,let times 4x & 3x → diff=x=2 → slower=8
Trains in ratio 5:8 cross bridge. Time ratio?,5:8,8:5,25:64,1:1,B,time ∝ 1/speed
"Distance split 2:3, speed same. Longer time?",40%,50%,60%,70%,C,longer=(3/5)=60%
"Speed ratio 4:9, total distance 130. Faster?",50,60,70,90,D,faster=(9/13)×130=90
"A takes 3x time of B, same distance. Speed ratio?",1:3,3:1,1:9,9:1,B,speed inverse → 3:1
