question,option_a,option_b,option_c,option_d,correct_answer,explanation
"In class A:B:C = 2:3:5, total 200 students. C?",80,90,100,110,C,parts=10 → C=5×20=100
"Sales ratio of X:Y = 7:9, total ₹64000. X?",28000,30000,32000,35000,A,X=(7/16)×64000=28000
"Production of P:Q:R = 3:4:5, total 240 units. Q?",80,90,96,100,A,Q=4/12×240=80 → option A (fix)
"Boys:Girls=5:7, total 72. Girls?",35,40,42,45,C,girls=(7/12)×72=42
"Expenses A:B:C=1:2:3, total ₹6000. A?",1000,1200,1500,2000,A,A=1/6×6000=1000
"Profit ratio 4:5, total ₹18000. Difference?",1000,1500,2000,2500,C,diff=(1/9)×18000=2000
"Population ratio 7:11, total 36000. Larger city?",14000,18000,22000,24000,C,larger=(11/18)×36000=22000
"Marks ratio 3:5, total 64. Smaller?",20,24,28,32,B,smaller=(3/8)×64=24
"Investment ratio 2:3:5, total ₹100000. Middle?",20000,30000,40000,50000,B,middle=3/10×100000=30000
"Staff ratio 9:11, total 200. Smaller?",80,90,100,110,B,smaller=(9/20)×200=90
