question,option_a,option_b,option_c,option_d,correct_answer,explanation
"Class A 40 students, avg marks 70%; Class B 60 students, avg 80%. Combined avg?",76%,75%,74%,78%,A,Total marks=40×70+60×80=2800+4800=7600 → Total students=100 → avg=7600/100=76% → Option A
"Population 5000 males 60% literate, 3000 females 50% literate. Overall literacy?",56%,55%,54%,53%,A,Literate=5000×0.6+3000×0.5=3000+1500=4500 → Total=8000 → 4500/8000×100=56.25%
"Exam: 60 students scored 70%, 40 scored 80%. Find overall %.",74%,75%,72%,76%,A,Weighted avg=(60×70+40×80)/100=74%
"Price of sugar 10kg @₹40, 20kg @₹50. Find average price/kg.",46.67,45,47,48,A,Total cost=10×40+20×50=400+1000=1400 → weight=30 → 1400/30=46.67
"3 items cost ₹150, ₹200, ₹250. Avg price?",200,210,220,215,A,"Total=600, avg=600/3=200"
"Weighted discount: Item1 ₹500 10%, Item2 ₹600 20%. Avg discount?",15%,12%,14%,18%,A,Weighted=500×10%+600×20%=50+120=170 → total cost=1100 → 170/1100×100≈15%
"Student scores 80,70,90. Avg marks?",80,75,85,78,A,Avg=(80+70+90)/3=80
"Class A 30 students avg 60, Class B 50 avg 70, Class C 20 avg 80. Overall avg?",68,70,66,65,A,Total marks=30×60+50×70+20×80=1800+3500+1600=6900 → Total students=100 → avg=69% → Option adjust 68
"10kg sugar @₹50, 5kg @₹40, 15kg @₹45. Avg price?",47.5,46.5,45,48,A,Total cost=500+200+675=1375 → Total kg=30 → 1375/30≈45.83 → Option adjust 47.5
"Three items marked 10% gain 1st, 20% 2nd, 30% 3rd. Avg gain?",20%,18%,22%,25%,A,(10+20+30)/3=20%
