question,option_a,option_b,option_c,option_d,correct_answer,explanation
A student scored 450 out of 500. Percentage?,90%,85%,88%,92%,A,450/500×100=90%
"Price ₹1800 increased by 25%, then decreased 10%. Find final price.",2025,2000,1950,1980,A,Increase 25%: 1800×1.25=2250 → decrease 10%: 2250×0.9=2025
"Cost ₹4000, sold at 15% gain. Find SP.",4600,4500,4700,4800,A,SP=4000+15% of 4000=4600
Population increased from 40000 to 46000. % increase?,15%,12%,10%,20%,A,Increase=6000 → %=(6000/40000)×100=15%
Price ₹6000 decreased by 10% then increased by 5%. New price?,5670,5700,5600,5800,A,Decrease 10%: 6000−600=5400 → increase 5%: 5400×1.05=5670
A man sold article at 12% loss for ₹4400. Find CP.,5000,4800,4500,4600,A,SP=88% of CP → CP=4400/0.88=5000
"A price increased by 20%, then by 25%. Find net % increase.",50%,45%,40%,35%,A,Net increase=(1.2×1.25−1)×100=50%
Profit = 12% on SP ₹2240. Find CP.,2000,2100,2200,2150,A,SP=CP×1.12 → CP=2240/1.12=2000
"Item sold at 20% profit, then 10% discount. Net gain/loss %?",8% gain,5% gain,10% gain,12% gain,A,CP=100 → SP1=120 → SP2 after 10% discount: 120−12=108 → gain=8%
Price increased 10% and then 20%. Original ₹5000. New price?,6600,6200,6800,6400,A,5000×1.1=5500 → ×1.2=6600
