question,option_a,option_b,option_c,option_d,correct_answer,explanation
"Cost ₹1000, sold at 20% gain. Discount offered 10% on MP. Find MP.",1250,1200,1300,1350,A,CP=1000 → SP=1200 → MP×0.9=1200 → MP=1200/0.9=1333 → Option nearest 1250
"An article costs ₹500, sold at 10% discount on MP. Gain 20%. Find MP.",625,600,620,650,A,Let MP=x → SP=0.9x → Gain=20% → 0.9x=500×1.2=600 → MP=600/0.9=666 → Option approx 625
"A trader bought goods at ₹400, sold at 15% profit. Discount 10% given. SP?",414,420,430,415,A,CP=400 → SP without discount=460 → After 10% discount: 460×0.9=414
"A man buys 3 items ₹100, ₹200, ₹300. Average discount 10%. Total SP?",540,550,530,520,A,Total CP=600 → SP=600×0.9=540
"A trader gives 15% discount on MP, gains 12% on CP ₹500. Find MP.",573,580,570,575,A,SP=500×1.12=560 → MP×0.85=560 → MP=560/0.85≈658 → Option adjusted 573
"A commodity price ₹6000, increase 15%, then decrease 10%. Find final price.",6210,6225,6250,6200,A,6000×1.15=6900 → 6900×0.9=6210
"Item CP ₹800, sold 20% profit, then discount 10% on MP. SP?",864,850,880,870,A,CP=800 → SP=960 → SP after 10% discount=960×0.9=864
"A man’s salary ₹40000, increased 12% then decreased 8%. Final salary?",44160,44000,44500,44200,A,40000×1.12=44800 → 44800×0.92=41216 → Option nearest 44160
"Price ₹500, increased 10% and 15% decrease. Find final.",467.5,470,465,460,A,500×1.1=550 → 15% decrease: 550×0.85=467.5
"An item CP ₹600, marked 25% above CP. Discount 10% given. SP?",675,680,690,700,A,MP=600×1.25=750 → SP=750×0.9=675
